manual_rating,domain,visit_count,sample_url
Mostly Distracted,rogers.com,68,https://www.rogers.com/?ecid=PS_R0050_R_WIR_May_21_ALW_O1S6PD&ecid=PS_R0050_R_WIR_Apr_20_ALW_R5SJQC&s_kwcid=AL!5244!3!524582514475!e!!g!!rogers&gclid=Cj0KCQjw3eeXBhD7ARIsAHjssr8gXND_fFoKughGxkne54A46Un6TDR1IK4PcoatsZLMiJyHGYwRUncaAnbhEALw_wcB&gclsrc=aw.ds
Mostly Intentional,shop.freedommobile.ca,68,https://shop.freedommobile.ca/en-CA/
Always Intentional,canada.ca,68,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/guide-5552-applying-change-conditions-extend-your-stay-canada-student.html
Mostly Intentional,ikea.com,67,https://www.ikea.com/ca/en/?gclid=Cj0KCQjwuaiXBhCCARIsAKZLt3n0guHf1naBodopSoHsfvgKyR2mZLO0PHOia1r5s_X8tug4LiB4C2YaAj8cEALw_wcB
Neutrel,newsdeskroom.co,65,https://newsdeskroom.co/medium/?e=1094252&h=nhsirkahdar
Mostly Intentional,myntra.com,65,https://www.myntra.com/
Neutrel,bestpap.com,63,https://bestpap.com/starplusnew/?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1154406&h=nhsirkahdar
Neutrel,onlineservices-servicesenligne.cic.gc.ca,62,https://onlineservices-servicesenligne.cic.gc.ca/auth/Consumer/metaAlias/sp
Neutrel,go.newsonground.com,60,https://go.newsonground.com/colors5?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1161141&h=61ssobggib
Neutrel,go.newsdeskroom.co,57,https://go.newsdeskroom.co/starplus?e=1094252&h=nhsirkahdar
Mostly Distracted,walmart.com,52,https://www.walmart.com/?irgwc=1&sourceid=imp_RRNxO1xXaxyNRf1woKzsMSKWUkDy1M2KS1yM240&veh=aff&wmlspartner=imp_2521951&clickid=RRNxO1xXaxyNRf1woKzsMSKWUkDy1M2KS1yM240&sharedid=&affiliates_ad_id=565706&campaign_id=9383
Neutrel,go.gossipmania.co,51,https://go.gossipmania.co/colors4?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1163100&h=61ssobggib
Neutrel,go.clockks.com,50,https://go.clockks.com/starbharat?e=1055612&h=knilelgnishsalf
Neutrel,gossipmania.co,48,https://gossipmania.co/colors4/?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1163100&h=61ssobggib
Mostly Distracted,apne.co,47,https://apne.co/
Neutrel,belkcase.com,45,https://belkcase.com/products/milk-powder-marble-macbook-air-pro-case-%E7%9A%84%E5%89%AF%E6%9C%AC?currency=USD&variant=40986266861773&utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&srsltid=AdGWZVS2KPQc_BZSoUUc-ZBfVC0mCOGNUPmOzzFE12o_3_rrTQUGNmwrYj0
Mostly Intentional,rbcroyalbank.com,43,https://www.rbcroyalbank.com/dms/students/multi/summer-m-or.html?utm_dc=ga_SEG_8014877502_83097976975_607390347054_aud-1374558487180:kwd-10579661_c_g_&gclid=Cj0KCQjw1bqZBhDXARIsANTjCPJid5YS_DYiZ1aDY3QueGYgdlCHlndlzsIYxXVfVrH1oX7KnN9YjDwaAgFhEALw_wcB
Neutrel,go.newstrendz.co,36,https://go.newstrendz.co/starplus?e=1150271&h=aamapuna
Neutrel,newstrendz.co,35,https://newstrendz.co/starplus/?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1150271&h=aamapuna
Mostly Intentional,shaadi.com,34,https://www.shaadi.com/lets-begin/canada?ptnr=scanbmmbrn5&gclid=Cj0KCQiAgribBhDkARIsAASA5btBIltBWTzFUtlYKU8xvtyUcwDRwd-1y9ELpkBrUsKffZtxKk1XoVMaArQREALw_wcB
Always Intentional,cic.gc.ca,31,https://www.cic.gc.ca/english/helpcentre/answer.asp?qnum=1137&top=29
Neutrel,go.bestpap.com,31,https://go.bestpap.com/starplusnew?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1154406&h=nhsirkahdar
Mostly Distracted,starbucks.ca,30,https://www.starbucks.ca/
Neutrel,go.newsmaster.me,30,https://go.newsmaster.me/starplusnew?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1154406&h=nhsirkahdar
Mostly Intentional,telus.com,29,https://www.telus.com/en/mobility/plans
Neutrel,newsmaster.me,29,https://newsmaster.me/starplusnew/?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1154406&h=nhsirkahdar
Mostly Intentional,m.facebook.com,27,https://m.facebook.com/ivannicholo/videos/367814938853629/?extid=reels&refsrc=deprecated&_rdr
Mostly Distracted,desitellybox.me,25,https://www.desitellybox.me/
Neutrel,articlesnew.com,24,https://articlesnew.com/medium?utm_source=Google&utm_medium=Search&utm_campaign=new&e=1149727&h=knilelgnisetanretla
